deal_id,deal_date,customer_id,broker_id,property_id,offer_price,final_price,mortgage,loan_rate,status,close_date,channel,lead_source,notes_freeform,price_band,full_name,email,phone,city,annual_income,segment,broker_name,agency,experience_years,rating,city_broker,city_property,neighborhood,property_type,bedrooms,bathrooms,area_sqft,year_built,parking,furnishing,latitude,longitude,listing_price,status_property,amenities,age_years,condition,hoa_fee,energy_rating,school_score,walk_score
DEAL300010,2020-11-14,CUST103555,BRK50063,PROP207251,5760786,5486784.0,Yes,7.36,Pending,2023-10-11,Social Media,Instagram,ok,Mid,Vihaan Chopra,anaya.iyer369@outlook.com,8383212568.0,Surat,357423.0,Luxury,Sachin Patel,Skyline Realty,13.0,4.8,Noida,Mumbai,Indiranagar,Villa,1.0,1.0,1505,2019.0,Street,Semi-Furnished,14.269969,82.158197,5681702,Withdrawn,"Pool, Club House",20.0,Needs Renovation,2134.0,E,58.0,64.0
DEAL300011,2020-09-16,CUST100434,BRK50443,PROP203860,4551139,4538118.0,Yes,9.23,Cancelled,2023-10-11,Walk-in,Google Ads,urgent,Mid,Kabir Gupta,rahul.sharma568@gmail.com,6583519880.0,Hyderabad,217047.0,Budget,Mira Das,Skyline Realty,2.0,4.3,Gurugram,Hyderabad,Malviya Nagar,Plot,2.0,4.0,1327,2022.0,Yes,Semi-Furnished,15.66633,76.383564,4940574,Under Offer,"Garden, Club House, Intercom, Parking",12.0,Needs Renovation,2860.0,E,70.0,44.0
DEAL300012,2020-04-18,CUST102736,BRK50024,PROP201630,7763667,7651193.0,Yes,7.73,Cancelled,2023-10-11,Email Campaign,Google Ads,??,Mid,Mira Das,vivaan.iyer714@gmail.com,1942720460.0,Hyderabad,292629.0,Premium,Aarav Singh,HomeNest,2.0,3.1,Chennai,Surat,Althan,Villa,3.0,3.0,1700,2001.0,Covered,Semi-Furnished,23.511429,77.81945,7489920,Under Offer,"Intercom, Play Area",1.0,Good,2031.0,A,88.0,43.0
DEAL300013,2019-06-25,CUST102308,BRK50416,PROP201519,11348300,12062794.0,Yes,8.55,Closed,2019-08-03,Social Media,Google Ads,urgent,High,Mira Shah,anaya.chopra794@gmail.com,2370463534.0,Ahmedabad,54559.0,Mid,Priya Gupta,Skyline Realty,7.0,2.7,Ahmedabad,Pune,Andheri,Studio,2.0,1.0,1483,2009.0,Covered,Furnished,16.399848,80.330465,10825260,Sold,"Gym, Garden, Power Backup, Wifi, Club House",25.0,Old,1549.0,A,95.0,43.0
DEAL300014,2018-05-11,CUST102025,BRK50409,PROP205794,5024915,5035290.0,Yes,10.35,Closed,2018-06-28,Social Media,Broker Referral,urgent,Mid,Sachin Reddy,arjun.nair at gmail.com,2436932237.0,New Delhi,412583.0,Premium,Ishaan Sharma,PropHub,9.0,2.9,Chennai,Chennai,Althan,Plot,1.0,2.0,1202,2015.0,No,Unfurnished,15.881409,85.448381,5301578,Active,"CCTV, Gym, Intercom, Pool",24.0,Good,1908.0,C,44.0,56.0
DEAL300015,2025-07-07,CUST104795,BRK50377,PROP204977,8006943,7653124.0,Yes,8.8,Closed,2025-10-04,Online Portal,Broker Referral,urgent,Mid,Aarav Kapoor,vivaan.mehta830@gmail.com,4755620067.0,New Delhi,115018.0,Luxury,Vivaan Kulkarni,UrbanKeys,6.0,4.3,Gurugram,Hyderabad,Kothrud,Studio,1.0,3.0,1025,1997.0,Yes,Semi-Furnished,13.81777,76.244168,7959810,Active,"Gym, Garden, Security, Power Backup",13.0,Good,2715.0,D,41.0,64.0
DEAL300016,2025-05-16,CUST104367,BRK50326,PROP202361,10923120,11581944.0,No,9.23,Closed,2025-06-14,Cold Call,Facebook,urgent,High,Diya Shah,sachin.kulkarni902@outlook.com,9354909447.0,Pune,80838.0,Luxury,Aarav Das,CityHomes,14.0,4.8,Kolkata,Pune,Satellite,Penthouse,1.0,1.0,1228,2022.0,Street,Unfurnished,27.238792,74.323552,11487721,Under Offer,"Lift, Play Area, Garden, CCTV, Gym",8.0,New,3236.0,D,79.0,99.0
DEAL300017,2018-12-09,CUST103000,BRK50260,PROP204632,5538279,5504215.0,Yes,8.11,Closed,2019-02-23,Cold Call,Broker Referral,urgent,Mid,Sachin Chopra,vihaan.khan28@yahoo.com,2755086930.0,Mumbai,456879.0,Mid,Arjun Mehta,CityHomes,13.0,4.0,Kolkata,Jaipur,Kothrud,Villa,1.0,2.0,83,2023.0,Street,Furnished,15.391806,76.005618,5575693,Sold,"Play Area, Club House, Lift",28.0,Old,3734.0,B,44.0,62.0
DEAL300018,2020-12-01,CUST104983,BRK50015,PROP204051,9866352,10108171.0,Yes,9.23,Closed,2021-01-07,Cold Call,Broker Referral,ok,High,Rohan Reddy,rohan.shah600@example.com,5618516405.0,Ahmedabad,311225.0,Premium,Kabir Iyer,CityHomes,6.0,3.6,Noida,Chennai,Banjara Hills,Studio,2.0,2.0,1099,2015.0,Covered,Unfurnished,24.91916,87.800365,10614631,Withdrawn,"Lift, Garden",9.0,Needs Renovation,2706.0,A,70.0,86.0
DEAL300019,2018-02-11,CUST101225,BRK50199,PROP205393,13971192,14482286.0,No,9.23,Pending,2023-10-11,Referral,Instagram,urgent,High,MiraR eddy,ishaan.kapoor801@outlook.com,7501601518.0,New Delhi,146705.0,Budget,Ishaan Gupta,PropHub,9.0,2.9,Noida,Chennai,Kothrud,Studio,3.0,1.0,1091,2002.0,Covered,Furnished,13.605994,79.375419,13554013,Active,"Power Backup, Play Area, Pool, CCTV",19.0,Good,2497.0,D,42.0,54.0
DEAL300020,2025-01-26,CUST101576,BRK50365,PROP206239,12062208,12749169.0,Yes,9.77,Pending,2023-10-11,Email Campaign,Broker Referral,client wants quick close,High,Aarav Iyer,arjun.singh167@example.com,6517218474.0,New Delhi,196958.0,Budget,Aarav Iyer,Skyline Realty,6.0,3.6,Pune,Ahmedabad,Andheri,Villa,3.0,2.0,369,1985.0,Street,Furnished,20.546123,75.692489,11549159,Sold,"Power Backup, CCTV",8.0,New,1112.0,F,98.0,85.0
DEAL300021,2018-12-31,CUST102071,BRK50159,PROP207778,8595882,9176885.0,Yes,9.45,Cancelled,2023-10-11,Online Portal,Google Ads,urgent,High,Aditi Iyer,kabir.sharma909@example.com,2833837589.0,Hyderabad,132061.0,Premium,Diya Shah,PropSquare,6.0,3.2,Jaipur,Hyderabad,Malviya Nagar,Studio,1.0,1.0,1195,2017.0,No,Furnished,13.722225,78.762225,8603221,Sold,"Garden, Club House, Play Area",32.0,Old,2729.0,A,51.0,76.0
DEAL300022,2024-03-22,CUST101624,BRK50084,PROP200234,13574688,14064063.0,Yes,7.93,Closed,2024-04-17,Cold Call,Billboard,urgent,High,Rohan Nair,rohan.kulkarni191@example.com,2232266410.0,Hyderabad,94999.0,Budget,Aditi Khan,HomeNest,4.0,4.7,Gurugram,Chennai,DLF Phase 3,Row House,4.0,1.0,973,1998.0,No,Semi-Furnished,20.540823,80.312479,13609669,Sold,"Intercom, Play Area",27.0,New,3320.0,C,50.0,49.0
DEAL300023,2025-07-28,CUST101819,BRK50316,PROP200262,10256122,10727033.0,Yes,7.61,Cancelled,2023-10-11,Online Portal,Instagram,urgent,High,Kabir Nair,anaya.reddy938@example.com,4615226671.0,Noida,164229.0,Premium,Sachin Singh,UrbanKeys,5.0,3.6,Jaipur,Bangalore,Salt Lake,Row House,2.0,1.0,965,1984.0,Covered,Semi-Furnished,12.855392,79.799383,10190551,Under Offer,"Intercom, Club House, Pool, CCTV, Power Backup",5.0,Good,1106.0,B,49.0,70.0
DEAL300024,2023-03-31,CUST100576,BRK50002,PROP200094,12714423,13212404.0,Yes,8.48,Cancelled,2023-10-11,Cold Call,Broker Referral,urgent,High,Sneha Kulkarni,anaya.khan188@gmail.com,5221454951.0,Pune,242000.0,Premium,Kabir Sharma,PropHub,5.0,4.4,New Delhi,Surat,Satellite,Penthouse,2.0,3.0,643,1980.0,Covered,Furnished,26.517421,82.643853,12440134,Withdrawn,"Gym, Garden",18.0,New,1937.0,D,81.0,58.0
DEAL300025,2018-05-03,CUST102385,BRK50168,PROP202051,13580653,14424571.0,Yes,9.23,Cancelled,2023-10-11,Social Media,Broker Referral,urgent,High,Anaya Iyer,anita.agarwal452@gmail.com,97372600.0,Surat,229393.0,Budget,Anita Reddy,Skyline Realty,8.0,4.1,Surat,Pune,Andheri,Apartment,3.0,3.0,1922,2023.0,Street,Unfurnished,16.435253,74.089302,14269488,Withdrawn,"Club House, Security, Wifi, Intercom, Parking",26.0,Needs Renovation,893.0,E,66.0,44.0
DEAL300026,2020-05-28,CUST102392,BRK50367,PROP200205,9659749,9286869.0,Yes,9.91,Closed,2020-08-22,Walk-in,Facebook,??,High,Ishaan Shah,rohan.chopra667@example.com,3868074177.0,New Delhi,387681.0,Premium,Vivaan Shah,UrbanKeys,6.0,3.4,Ahmedabad,Delhi,Indiranagar,Row House,1.0,1.0,1078,2015.0,Street,Furnished,28.457751,84.435626,9843314,Active,"Power Backup, Parking",39.0,Good,781.0,D,79.0,80.0
DEAL300027,2023-01-31,CUST101517,BRK50130,PROP202717,9027573,9176795.0,No,9.23,Pending,2023-10-11,Cold Call,Newspaper,see email,High,iVvaan Mehta,aarav.shah626@gmail.com,2001359105.0,Pune,46617.0,Luxury,Diya Reddy,Skyline Realty,5.0,3.1,Pune,Surat,Banjara Hills,Villa,2.0,1.0,1262,2005.0,Yes,Furnished,25.825274,77.615745,8740449,Sold,"CCTV, Garden, Power Backup, Parking, Play Area",24.0,Old,4052.0,F,78.0,41.0
DEAL300028,2024-01-30,CUST102661,BRK50426,PROP202834,12305925,11741340.0,Yes,9.23,Pending,2023-10-11,Referral,Website,urgent,High,Rahul Singh,sneha.nair122@yahoo.com,6908509956.0,Delhi,144719.0,Premium,Sachin Reddy,PropHub,4.0,4.3,Chennai,New Delhi,Satellite,Apartment,4.0,2.0,564,1986.0,Covered,Furnished,28.56078,87.385631,12633959,Sold,"Intercom, Pool, Parking, CCTV",28.0,Needs Renovation,3303.0,F,45.0,35.0
DEAL300029,2023-10-10,CUST100636,BRK50185,PROP206609,16810565,17334777.0,Yes,7.18,Closed,2023-12-08,Referral,Newspaper,urgent,Luxury,Priya Kulkarni,arjun.nair at gmail.com,5191775171.0,Mumbai,115630.0,Budget,Ishaan Kapoor,CityHomes,6.0,3.6,Jaipur,Bangalore,Kothrud,Apartment,2.0,1.0,583,1985.0,No,Furnished,14.018437,79.792067,17930006,Under Offer,"CCTV, Play Area, Gym, Parking, Security",7.0,Old,975.0,F,61.0,41.0
DEAL300030,2020-05-12,CUST103898,BRK50387,PROP202146,6577029,6294568.0,No,11.17,Closed,2020-06-28,Cold Call,Broker Referral,urgent,Mid,Arjun Das,anita.gupta820@gmail.com,7315670753.0,Hyderabad,138965.0,Mid,Anita Iyer,Skyline Realty,10.0,3.6,Bangalore,Hyderabad,T Nagar,Row House,1.0,3.0,1130,1999.0,No,Furnished,18.209098,84.357357,6510620,Sold,"CCTV, Play Area, Power Backup, Garden",30.0,Old,2581.0,D,70.0,85.0
DEAL300031,2019-07-17,CUST102517,BRK50294,PROP207856,8673408,8831631.0,Yes,8.56,Cancelled,2023-10-11,Cold Call,Google Ads,urgent,High,Rahul eMhta,arjun.gupta246@yahoo.com,8911222817.0,Delhi,443336.0,Premium,Arjun Shah,HomeNest,12.0,4.5,Hyderabad,Kolkata,Indiranagar,Plot,2.0,2.0,1080,1984.0,No,Furnished,25.50656,85.818266,9085657,Sold,"Play Area, CCTV, Power Backup, Parking, Garden",30.0,Good,3178.0,C,91.0,63.0
DEAL300032,2020-01-03,CUST100230,BRK50171,PROP207117,6615414,7035800.0,No,9.23,Closed,2020-02-03,Online Portal,Facebook,urgent,Mid,Rohan Singh,anita.singh340@outlook.com,6570261953.0,Ahmedabad,150822.0,Luxury,Aarav Mehta,UrbanKeys,7.0,3.4,Surat,Ahmedabad,Sector 62,Row House,2.0,1.0,1571,1996.0,Covered,Semi-Furnished,26.27787,84.040559,6556656,Under Offer,"Parking, Garden, Intercom, Pool, Security",14.0,Good,3330.0,F,99.0,61.0
DEAL300033,2025-08-07,CUST104766,BRK50443,PROP203309,10727928,11366878.0,Yes,7.89,Closed,2025-10-14,Email Campaign,Google Ads,ok,High,Sneha Gupta,diya.das65@gmail.com,895769934.0,Delhi,33532.0,Budget,Mira Das,Skyline Realty,2.0,4.3,Gurugram,Jaipur,Kothrud,Row House,2.0,1.0,1348,2000.0,Covered,Furnished,16.296413,87.925773,10883717,Sold,"Club House, Garden, CCTV",28.0,Needs Renovation,0.0,F,78.0,78.0
DEAL300034,2025-03-19,CUST101782,BRK50196,PROP205245,10490524,11169075.0,Yes,7.33,Closed,2025-06-13,Cold Call,Instagram,urgent,High,Sneha Kulkarni,sachin.kulkarni718@yahoo.com,1186419300.0,New Delhi,103064.0,Premium,Sneha Chopra,HomeNest,3.0,4.3,Pune,Surat,DLF Phase 3,Row House,3.0,1.0,1354,1989.0,Street,Unfurnished,23.771702,85.665348,11346106,Sold,"Security, Club House, Parking, Lift, CCTV",19.0,Needs Renovation,3721.0,E,68.0,79.0
DEAL300035,2019-06-24,CUST100517,BRK50116,PROP204485,9067769,9533073.0,No,9.96,Closed,2019-07-13,Online Portal,Facebook,urgent,High,Mira Kulkarni,diya.nair550@example.com,2855544144.0,Kolkata,74688.0,Mid,Arjun Chopra,HomeNest,2.0,3.6,Delhi,Ahmedabad,Kothrud,Row House,2.0,2.0,1494,2011.0,Street,Furnished,24.703282,88.1165,8757905,Sold,"CCTV, Lift",31.0,Needs Renovation,2571.0,C,56.0,64.0
DEAL300036,2018-05-06,CUST101984,BRK50176,PROP202204,4886590,4892455.0,Yes,9.23,Closed,2018-07-24,Referral,Broker Referral,??,Mid,Vivaan Shah,rahul.agarwal146@example.com,3062728972.0,Bangalore,196423.0,Premium,Sneha Niar,UrbanKeys,1.0,4.6,Mumbai,Surat,Satellite,Villa,2.0,2.0,907,2023.0,Street,Unfurnished,24.94508,79.750908,5159662,Active,"Power Backup, Gym, CCTV",12.0,Good,2329.0,A,95.0,68.0
DEAL300037,2024-05-14,CUST104425,BRK50321,PROP205482,4355314,4250879.0,No,8.62,Closed,2024-07-27,Cold Call,Instagram,??,Mid,Sachin Das,sneha.kulkarni793@gmail.com,1241690186.0,Bengaluru,293303.0,Premium,Diya Nair,HomeNest,3.0,3.1,Bangalore,Kolkata,Kothrud,Studio,2.0,1.0,2389,2012.0,Street,Unfurnished,24.451938,75.253665,4792318,Withdrawn,"Garden, Play Area, Gym, Club House",1.0,Needs Renovation,3597.0,E,61.0,64.0
DEAL300038,2020-01-17,CUST100514,BRK50124,PROP203116,13065446,12830894.0,Yes,9.23,Closed,2020-01-31,Referral,Facebook,urgent,High,Sneh aDas,diya.iyer749@gmail.com,9025543564.0,Surat,424972.0,Mid,Rahul Sharma,PropHub,11.0,3.4,Jaipur,Ahmedabad,Banjara Hills,Penthouse,3.0,1.0,999,2017.0,No,Semi-Furnished,17.043552,87.855794,13132324,Under Offer,"Wifi, Lift",22.0,Needs Renovation,1503.0,A,41.0,87.0
DEAL300039,2022-05-03,CUST104174,BRK50137,PROP202770,1522744,1488377.0,Yes,9.47,Closed,2022-06-04,Email Campaign,Instagram,urgent,Low,Sneha Das,rohan.reddy764@gmail.com,8076715466.0,Hyderabad,229424.0,Premium,Ishaan Khan,PropHub,6.0,3.5,Pune,Jaipur,T Nagar,Plot,1.0,3.0,1152,2012.0,No,Unfurnished,14.878027,80.797803,1500000,Withdrawn,"CCTV, Gym, Play Area",25.0,Good,3659.0,A,43.0,63.0
DEAL300040,2021-09-16,CUST102565,BRK50423,PROP205658,8863543,9392642.0,Yes,9.23,Pending,2023-10-11,Social Media,Newspaper,urgent,High,Priya Iyer,rahul.patel6@yahoo.com,6554457529.0,Pune,701114.0,Luxury,Kabir Reddy,PropHub,14.0,2.9,Surat,Bengaluru,Satellite,Studio,2.0,4.0,2112,2008.0,Yes,Unfurnished,12.907074,77.603757,8532614,Withdrawn,"Wifi, Club House, Intercom",36.0,Good,2572.0,C,75.0,32.0
DEAL300041,2020-07-25,CUST102919,BRK50297,PROP200680,7010743,7178452.0,Yes,9.23,Closed,2020-09-25,Email Campaign,Instagram,??,Mid,Diya Sharma,vihaan.agarwal13@example.com,5220264943.0,Chennai,169240.0,Luxury,Aditi Kulkarni,HomeNest,3.0,4.9,Kolkata,Mumbai,Malviya Nagar,Penthouse,2.0,2.0,1054,2002.0,Street,Unfurnished,24.978066,72.857613,6888201,Under Offer,"CCTV, Club House",29.0,Good,2480.0,E,40.0,86.0
DEAL300042,2023-11-20,CUST101922,BRK50477,PROP205491,7538870,7297106.0,Yes,9.99,Closed,2023-12-07,Cold Call,Website,??,Mid,Sneha Chopra,aditi.khan57@gmail.com,4137251875.0,Pune,27042.0,Budget,Anita Kulkarni,HomeNest,3.0,3.1,Pune,Surat,Andheri,Villa,3.0,2.0,1598,2008.0,No,Semi-Furnished,13.267496,74.02872,7805626,Withdrawn,"Power Backup, Pool, Club House, CCTV",33.0,New,2179.0,F,94.0,64.0
DEAL300043,2021-04-04,CUST104829,BRK50420,PROP204255,11981017,11610637.0,No,9.23,Closed,2021-04-29,Social Media,Website,??,High,Arjun Chopra,aarav.patel105@example.com,6427915826.0,Bangalore,112501.0,Mid,Aditi Kapoor,CityHomes,9.0,4.1,Kolkata,Noida,Satellite,Studio,2.0,2.0,1450,1984.0,No,Unfurnished,14.174902,79.748553,11716146,Under Offer,"Wifi, Club House",28.0,Old,3435.0,F,92.0,91.0
DEAL300044,2022-04-24,CUST102321,BRK50042,PROP207157,11363217,11232738.0,No,10.14,Closed,2022-07-20,Cold Call,Facebook,urgent,High,Vivaan Das,ishaan.das208@yahoo.com,792864124.0,Chennai,590644.0,Budget,Rohan Shah,HomeNest,6.0,2.8,Pune,Jaipur,DLF Phase 3,Apartment,2.0,3.0,1426,1982.0,Covered,Semi-Furnished,14.291793,76.729206,12305641,Active,"Wifi, Security, Lift, Pool",8.0,New,2791.0,F,56.0,64.0
DEAL300045,2022-11-05,CUST103521,BRK50070,PROP200736,5291756,5427587.0,Yes,9.47,Closed,2022-11-25,Online Portal,Website,urgent,Mid,Rahul Chopra,ishaan.patel461@gmail.com,8018897558.0,Chennai,297039.0,Mid,Aditi Sharma,Skyline Realty,10.0,4.0,Noida,Noida,Andheri,Penthouse,2.0,1.0,1516,2001.0,No,Semi-Furnished,26.272081,78.534543,5062909,Under Offer,"Power Backup, Intercom, Garden, Parking, Club House",27.0,Good,940.0,F,79.0,37.0
DEAL300046,2021-08-02,CUST104780,BRK50463,PROP206432,12421641,13304398.0,Yes,11.44,Closed,2021-10-14,Email Campaign,Google Ads,client wants quick close,High,Aditi Iyer,kabir.agarwal997@example.com,8496964225.0,Chennai,59115.0,Budget,Sachin Shah,CityHomes,8.0,2.9,Pune,Gurugram,Andheri,Penthouse,3.0,1.0,1160,1981.0,Street,Furnished,27.271324,74.34212,12619102,Withdrawn,"Gym, Play Area, Lift, Security, Garden",13.0,Old,3463.0,A,78.0,51.0
DEAL300047,2022-04-12,CUST100751,BRK50428,PROP207178,10637826,10212089.0,Yes,8.02,Cancelled,2023-10-11,Walk-in,Google Ads,urgent,High,Rohan Patel,arjun.reddy514@outlook.com,5218513865.0,Surat,161108.0,Premium,Arjun Agarwal,PropHub,1.0,3.4,Chennai,Surat,Malviya Nagar,Apartment,2.0,1.0,786,1980.0,Covered,Unfurnished,20.335959,85.256522,10815407,Under Offer,"Pool, Power Backup, Lift",38.0,Needs Renovation,2922.0,F,86.0,38.0
DEAL300048,2018-09-26,CUST104774,BRK50283,PROP207549,12156487,11694571.0,Yes,8.59,Closed,2018-10-18,Online Portal,Instagram,see email,High,Anita Das,arjun.iyer445@yahoo.com,1078424720.0,Mumbai,86422.0,Budget,Anaya Singh,HomeNest,9.0,4.0,Gurugram,Mumbai,Malviya Nagar,Row House,2.0,2.0,471,2002.0,Yes,Furnished,23.263033,75.585052,11739298,Sold,"CCTV, Parking, Club House, Garden, Power Backup",12.0,New,3751.0,E,95.0,39.0
DEAL300049,2021-11-27,CUST103080,BRK50197,PROP205100,1368880,1422030.0,No,8.29,Closed,2022-02-11,Walk-in,Instagram,urgent,Low,Rohan Kulkarni,aditi.iyer460@gmail.com,9042544563.0,Jaipur,271667.0,Budget,Mira Shah,Skyline Realty,8.0,2.7,Mumbai,Gurugram,Sector 62,Apartment,2.0,2.0,1219,1992.0,No,Unfurnished,14.480971,82.208438,1500000,Sold,"Wifi, Intercom, Lift",32.0,Old,2915.0,E,40.0,66.0
DEAL300050,2023-06-17,CUST101007,BRK50022,PROP201246,11311633,11020428.0,Yes,7.76,Closed,2023-09-03,Cold Call,Facebook,urgent,High,Priya Chopra,rahul.kulkarni914@example.com,3005479108.0,Bengaluru,99707.0,Premium,Arjun Kulkarni,PropHub,2.0,3.6,Hyderabad,Hyderabad,T Nagar,Apartment,1.0,1.0,897,1989.0,Yes,Semi-Furnished,13.861597,86.433509,11389360,Withdrawn,"Club House, CCTV, Garden, Power Backup",38.0,Needs Renovation,1893.0,C,49.0,39.0
DEAL300051,2018-11-18,CUST100089,BRK50207,PROP201408,6611325,6852025.0,Yes,10.69,Pending,2023-10-11,Referral,Website,client wants quick close,Mid,Aarav Sharma,sneha.agarwal410@gmail.com,7094429841.0,Chennai,243203.0,Luxury,Arjun Gupta,UrbanKeys,2.0,4.0,Hyderabad,Chennai,T Nagar,Row House,3.0,2.0,1282,1993.0,Street,Semi-Furnished,22.62702,85.68984,7274235,Under Offer,"Wifi, Gym, Security",0.0,New,1518.0,C,53.0,58.0
DEAL300052,2023-09-21,CUST100366,BRK50305,PROP207665,10482641,8959426.0,Yes,7.94,Closed,2023-12-11,Referral,Facebook,??,High,Vihaan Nair,mira.khan570@outlook.com,6395114443.0,Pune,170706.0,Luxury,Aditi Khan,Skyline Realty,4.0,4.6,Delhi,Noida,Satellite,Penthouse,3.0,1.0,1384,1992.0,Yes,Semi-Furnished,28.075791,80.809612,10669315,Active,"Intercom, Garden",27.0,Old,2480.0,B,78.0,41.0
